,point,mode,modereal,modeimag,viscosity,trial,wavelength,windingnum,traveling
0,0,1,-0.05402281238545903,-9.7057270261134e-18,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
1,0,2,-0.07511396579891648,-4.25398648598585e-14,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
2,0,3,-0.06440478387714563,-6.6530982112400494e-15,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
3,1,1,-0.053421571699346575,0.0006080390997491188,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
4,1,2,-0.07409382901166173,-0.00032466673701623416,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
5,1,3,-0.0629706510745196,0.0006722887755094548,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
6,2,1,-0.05281937268506888,0.0012145643803458351,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
7,2,2,-0.07300644316175109,-0.000406380826134895,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
8,2,3,-0.06156381956505297,0.001271861891850799,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
9,3,1,-0.05221714048311265,0.0018217617270357693,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
10,3,2,-0.07196012667396534,-0.0006410206590264961,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
11,3,3,-0.06013601257423409,0.0019155214312812495,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
12,4,1,-0.051615458722640874,0.0024302959306754033,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
13,4,2,-0.07098766089468873,-0.0011464423880277379,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
14,4,3,-0.05867361414941924,0.0026382830254611444,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
15,5,1,-0.05101370138263746,0.003038569596973694,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
16,5,2,-0.06999422677892925,-0.001575247537284395,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
17,5,3,-0.05722265284683368,0.0033344411323673624,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
18,6,1,-0.05041180503934361,0.0036465488711633054,1,sim1x,9.319627121524139,1.3188973677090092,0.7552857089975445
19,6,2,-0.06898027440614972,-0.001928421597180168,1,sim1x,9.319627121524139,1.3188973677090092,0.7582775820806937
20,6,3,-0.055782162840975466,0.004005902258550062,1,sim1x,9.319627121524139,1.3188973677090092,0.9040395248943333
